HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,name,,,,
N/A,,Clova,Quebec,Canada,G0X 3M0,,60.1101516307403,-75.3578571064422,,,,,
N/A,,Linden Grove,Minnesota,Canada,P8N 2Y5,,50.4541251684402,-92.8722295766169,Lac Seul,,,,
N/A,,Anvil,Michigan,Canada,P0V 1G0,,53.782500353918,-90.0228341889335,Big Trout Lake,,,,
N/A,,Purrington,Washington,Canada,X0E 0S0,,64.5475436651867,-117.767190147039,,,,,
0,,Unity,ME,United States,04441-7206,Piscataquis,46.0061360254171,-69.3409073953785,Chesuncook Lake,,,,
N/A,,Hoosier,Saskatchewan,Canada,S0L 1M0,,54.8963742109842,-109.734065396526,,,,,
N/A,,Ramore,Ontario,Canada,P0K 1R0,,50.3101811102728,-80.3295947587916,,,,,
N/A,,North Battleford,Saskatchewan,Canada,S9A 0Y4,,70.8035172770525,-108.291286977649,,,,,
N/A,,The Glen,Ontario,Canada,K0J 2L0,,51.3559096719081,-76.870625243702,,,,,
N/A,,Stockholm,Saskatchewan,Canada,S0P 0G0,,54.0592026334217,-102.301896818829,,,,,
N/A,,Spruce Lake,Saskatchewan,Canada,S0M 2W0,,59.8071037618583,-109.088930292332,,,,,
N/A,,Outaouais,Quebec,Canada,J0Y 3B0,,56.338905615993,-76.3120324045679,,,,,
0,,Verbena,AL,United States,35046-5200,Coosa,32.9294512237834,-86.5058277331295,Mitchell Lake,,,,
N/A,,Cort,Minnesota,Canada,P0V 1C0,,51.1658976278446,-93.2519446178039,Trout Lake,,,,
N/A,,Sheen-Esher-Aberdeen-et-Malakoff,Quebec,Canada,K0J 1J0,,50.0258253634636,-77.4566813718123,,,,,
N/A,,Botha,Alberta,Canada,X0E 0S0,,69.9280783629629,-112.539754301103,,,,,
N/A,,Coronation,Alberta,Canada,T9K 0G8,,64.2297775899481,-111.442075308444,,,,,
0,Desert Willow Rd,Hatch,NM,United States,87935-9500,Sierra,33.2659094210949,-107.160019253484,Elephant Butte Reservoir,,,,
0,Jeep Trl,Barrow,AK,United States,99649-9800,Kodiak Island,57.6139438326638,-156.778334662235,,,,,
N/A,,Bringakro,Lacs,Cote d'Ivoire,,,6.28316888963397,-5.0873014838046,,,,,
N/A,,Lynn Lake,Manitoba,Canada,R0B 1T0,,54.0649427339008,-101.077189173698,,,,,
N/A,,Bamangaye,Mopti,Mali,58013,,15.3553241057685,-4.14334871102646,Lake Dbo,,,,
N/A,,Pagwa River,Ontario,Canada,P0T 2L0,,52.3334929381124,-85.2138778042046,,,,,
N/A,,Bryson,Quebec,Canada,J0X 1H0,,47.3780200399142,-76.6260718890629,Cabonga Reservoir,,,,
N/A,,Silver Star Mountain,British Columbia,Canada,V1B 3Y9,,63.983689179666,-119.066426084116,,,,,
N/A,,Arbuthnot,Saskatchewan,Canada,S0H 1K0,,50.9464491710679,-106.898092310729,Lake Diefenbaker,,,,
0,,Holy Cross,AK,United States,99770-0080,Northwest Arctic,66.4846068037767,-159.837157728152,,,,,
N/A,,Frontier,Minnesota,Canada,R0B 0T0,,53.8521174699846,-94.2475861769388,Island Lake,,,,
N/A,,Youngstown,Alberta,Canada,T0K 1K0,,69.2068862514903,-111.214346535631,,,,,
N/A,,Vallican,British Columbia,Canada,V1N 4T5,,60.9364317355989,-117.6544824187,,,,,
N/A,,Wilton,North Dakota,Canada,R0M 0K0,,54.2177177158822,-100.78698383198,,,,,
N/A,,Winter,Minnesota,Canada,P0V 3C0,,51.1168860006772,-91.4985303400966,,,,,
N/A,,Rivers Edge Mobile Home Park,Montana,Canada,T8S 1Z7,,60.2308409228643,-115.507797342334,,,,,
N/A,,Granbergsfallet,Jamtland,Sweden,685 33,,63.5702547631096,12.9884142011267,,,,,
N/A,,Lavillette,New Brunswick,Canada,E2A 5P4,,52.7239669527525,-65.312568798211,,,,,
N/A,,Neumühle,Brandenburg,Germany,02979,,51.6306985845855,14.3899242592758,,,,,
N/A,,Clarks Corners,New Brunswick,Canada,E8G 1S8,,52.6827559749541,-66.143612171532,,,,,
N/A,,Bengtsbo,Dalarna,Sweden,733 63,,60.1415014102799,16.3493351459753,,,,,
N/A,,Burchell Lake,Ontario,Canada,P0V 2Z0,,52.7882855145308,-90.5938509113718,North Caribou Lake,,,,
N/A,,Lac-Paradis,Quebec,Canada,J0W 0A3,,48.5672511135262,-75.6112703143838,,,,,
N/A,,Grande Prairie,Alberta,Canada,T8V 2H1,,59.7451401130971,-118.809234491134,,,,,
N/A,,Huta,Warmian-Masurian,Poland,82-316,,54.3853580862836,19.5886556675379,Zalew Wislany,,,,
N/A,,Fort Kent,Alberta,Canada,T9V 3C4,,69.0669161090392,-110.621738485122,,,,,
N/A,,Kearns,Ontario,Canada,P0K 1J0,,48.7016283375618,-79.5713093075662,Lake Abitibi,,,,
N/A,,Hutton,British Columbia,Canada,V0C 1J0,,64.6240783382409,-121.620539969973,,,,,
N/A,,Saunaniemi,Oulu,Finland,83950,,65.9497471847784,29.6251933828163,,,,,
N/A,,Babbitt,Minnesota,Canada,P0V 3B0,,51.9421358310908,-91.9411685599122,,,,,
N/A,,Silverhill,British Columbia,Canada,V2J 6X5,,67.4985440396817,-122.382064522029,,,,,
N/A,,La Loche,Saskatchewan,Canada,S0M 1G0,,69.7523429790653,-109.444192542899,,,,,
N/A,,Göktaş,Isparta,Turkey,32500,,38.059334867307,30.8922457095346,Egridir,,,,
N/A,,Lamèque,New Brunswick,Canada,G4X 6S4,,53.2566188407973,-64.6540022966316,Ossokmanuan Lake,,,,
N/A,,Saint-Gédéon-de-Beauce,Quebec,Canada,G0V 1M0,,52.8299380385199,-70.6348215553681,Lake Naococane,,,,
N/A,,Senneterre,Quebec,Canada,J9P 7C9,,49.7787066787366,-77.2299511143359,,,,,
N/A,,Jim Lake,Quebec,Canada,K0J 1V0,,53.224827515067,-76.7709179971853,Lake Sakami,,,,
N/A,,Blackstone,Maine,Canada,G4Z 3C4,,53.7053769526096,-68.2431122981021,,,,,
N/A,,Uniacke,Quebec,Canada,J0Y 2J0,,47.7974889210769,-77.5206428975598,,,,,
N/A,,Saint-Léonard-de-Portneuf,Quebec,Canada,G8G 1N3,,53.5327323920468,-71.9072209605519,,,,,
N/A,,Cavell,Saskatchewan,Canada,S0M 0P0,,69.2997581336004,-108.592252046549,,,,,
N/A,,Peñasquillo,Nayarit,Mexico,63384,,21.8036646747148,-105.044335174076,,,,,
N/A,,Chemin du Lac Matchi Manitou,Quebec,Canada,J0X 1M0,,47.4792812996476,-77.0334891260633,Dozois Reservoir,,,,
N/A,,Fairford Reserve,Manitoba,Canada,R0C 0X0,,65.7229396248235,-98.6862015630699,,,,,
0,Oleory St,Tolar,TX,United States,79770-0100,Loving,31.9857198321993,-103.934001164167,Red Bluff Lake,,,,
N/A,,Strasbourg,Saskatchewan,Canada,S0G 4V0,,55.116117031888,-104.957650457963,Lac la Ronge,,,,
N/A,,Ma’erjin,Xizang,China,859300,,30.1076767010992,84.8271353005053,,,,,
0,Joe Dugas Rd,Robeline,LA,United States,70645-5308,Cameron,29.9587284527706,-93.3090073678229,,,,,
N/A,,Ouédo-Aguéko,Atlantique,Benin,,,6.42887913256415,2.46564172473807,,,,,
N/A,,Île-à-la-Crosse,Saskatchewan,Canada,X0B 0C0,,69.6238530375723,-107.887638753108,,,,,
N/A,,Alvena,Saskatchewan,Canada,S0J 0A7,,60.0219895746644,-106.014943671535,Scott Lake,,,,
N/A,,Jackhead,Manitoba,Canada,R4H 1C1,,63.3371183744213,-97.314901817731,,,,,
N/A,,Lac-Jolicoeur,Quebec,Canada,J8E 1W3,,50.7917608222602,-74.5416263678537,,,,,
N/A,,Wemindji,Quebec,Canada,K0M 2L1,,51.103050886702,-78.7806291988373,,,,,
N/A,,City of Deer Park,Washington,Canada,V1L 6V9,,64.174878680238,-117.435949737495,,,,,
0,,Shafter,NM,United States,88210-9107,Eddy,32.6826269031835,-104.297942045349,Brantley Lake,,,,
N/A,,Simcoe,North Dakota,Canada,R0M 0A6,,66.4791610674247,-100.859236332062,,,,,
N/A,,Pointe-Lebel,Quebec,Canada,G4Z 3B1,,53.1867073606035,-68.1976089818537,,,,,
N/A,,Nelson,Washington,Canada,V0K 1X1,,60.5521393676286,-121.046738151235,,,,,
N/A,,Ville-Marie,Quebec,Canada,J9V 1M6,,47.2071416641143,-79.4346044433804,,,,,
N/A,,Traynor,Saskatchewan,Canada,S0K 4E0,,69.8093024376653,-108.374720396812,,,,,
N/A,,Viršužiglis,Kauno,Lithuania,53193,,54.8478041300075,24.1800833879428,Kauno marios,,,,
N/A,,Namuqie,Xizang,China,858800,,30.4195554937952,84.0643688555149,,,,,
N/A,,Combermere,Ontario,Canada,J9P 0A9,,47.6347055587731,-77.606278454855,Dozois Reservoir,,,,
N/A,,Baruotawa,Sichuan,China,813500,,34.93613147844,97.6887705754098,Ngoring Hu,,,,
N/A,,Hiawatha Park,Ontario,Canada,J9L 0J3,,49.9370745791334,-75.550046793963,,,,,
526,State Hwy 92,Hyannis,NE,United States,69146-2504,Keith,41.2649602117709,-101.771460328576,Lake C.W. McConaughy,,,,
N/A,,Plön,Schleswig-Holstein,Germany,24306,,54.1249930158357,10.4191820617054,,,,,
N/A,,Yangduqiao,Zhejiang,China,214154,,31.237299038967,120.137632179972,Tai Hu,,,,
N/A,,Turtleford,Saskatchewan,Canada,S0M 2Y0,,70.0293396226962,-108.949546692363,,,,,
N/A,,Rudikovka,Krasnoyarsk,Russia,662693,,67.3407648675391,92.5566187810825,Ozero Severnoye,,,,
N/A,,Sainte-Anne-de-Beaupré,Quebec,Canada,G7B 3P9,,81.800003069153,-70.9353501003392,,,,,
N/A,,Yel’tsovka,Novosibirsk,Russia,632653,,54.3666659642108,82.0083433323359,Novosibirsk Reservoir,,,,
N/A,,Lutsen Mobile Home Park,Minnesota,Canada,X0C 0H0,,66.7086179045238,-90.6610941681589,,,,,
N/A,,Urmatka,Tyumen',Russia,627506,,69.709071452377,70.1640137678175,Ozero Yasaveyto,,,,
N/A,,Pointe du Bois,Manitoba,Canada,R0E 1N0,,54.8508949533424,-95.5541349071413,,,,,
N/A,,Belleterre,Quebec,Canada,J0Z 1L0,,47.615424708446,-78.7031114108404,,,,,
N/A,,Chitek Lake,Saskatchewan,Canada,S0M 2H0,,69.7635288158963,-107.720548857509,,,,,
N/A,,Lac-Saint-Jean,Quebec,Canada,G0W 2G0,,48.6019860805277,-72.0332695941793,Lac St.-Jean,,,,
N/A,,Firesteel,Michigan,Canada,P7A 8C8,,52.9248704695199,-89.2094685015836,,,,,
N/A,,Qiujiahu,Hubei,China,430413,,30.6390039505719,114.592986758721,,,,,
N/A,,Saint-Émile-de-Suffolk,Quebec,Canada,J0T 2X0,,49.9351612123071,-74.9171105671318,,,,,
N/A,,Lac-Clef,Quebec,Canada,J8B 0A9,,49.8515618002017,-74.2188878535198,,,,,
N/A,,Newton,Montana,Canada,X0E 1A0,,64.7266642365463,-108.049301014141,,,,,
N/A,,Pollollo,Los Lagos,Argentina,Z9405,,-50.3181957496884,-73.0350305989512,Lago Argentino,,,,
N/A,,Chute-aux-Outardes,Quebec,Canada,G5N 5L3,,49.5438041052855,-68.3938217213307,,,,,
0,,Natrona,WY,United States,82327-9500,Carbon,42.062245450107,-106.820553408598,Seminoe Reservoir,,,,
2243,Shull Ave,Peak,SC,United States,29054-8616,Lexington,34.0658439365752,-81.3330618832147,Lake Murray,,,,
N/A,,Vanguard,Saskatchewan,Canada,S0N 2V0,,69.6569690018747,-107.299196354009,,,,,
N/A,,Kianta,Oulu,Finland,88730,,65.0139636246268,29.0913571714837,,,,,
N/A,,Stepstone,Ontario,Canada,P7G 2H4,,66.6843328640355,-89.2394974629403,,,,,
N/A,,Mahramkolu,Konya,Turkey,42480,,37.7895501447908,31.5081864241111,Beysehir,,,,
N/A,,McGee,Saskatchewan,Canada,S0K 1L0,,64.6203987866518,-108.24917151339,,,,,
N/A,,Sincorá,Maranhao,Brazil,65763-000,,-3.82926915178385,-44.6527587188526,,,,,
N/A,,Dixon,Michigan,Canada,P0T 1M0,,49.5258478935305,-86.859870705431,Long Lake,,,,
N/A,,Akshatau,Qyzylorda,Kazakhstan,120608,,46.1076916492775,61.6075825658116,,,,,
N/A,,Lac-Caribou,Quebec,Canada,J8E 2K3,,49.6422689058111,-74.6980870985637,,,,,
N/A,,Renville County,North Dakota,Canada,R0B 2E0,,62.3005151007271,-101.655519729526,,,,,
N/A,,Artanish,Gegharkunik,Armenia,1308,,40.378777007041,45.3627400485852,Lake Sevan,,,,
N/A,,Saint Romuald,Quebec,Canada,G7P 2Z5,,50.0985333028651,-71.2384623079011,Lake Peribonca,,,,
N/A,,Hastings,Maine,Canada,G7G 0A6,,53.2411647241229,-70.9944418056121,,,,,
0,Foot Trl,Yakutat,AK,United States,99689-9800,Skagway-Yakutat-Angoon,59.2046875756833,-138.150291662151,,,,,
N/A,,Broadacres,Saskatchewan,Canada,S0N 0M0,,64.6414458217417,-108.976007732887,,,,,
N/A,,Lemberg,Saskatchewan,Canada,S0A 0A2,,69.7916405900374,-103.205476652181,,,,,
0,,Otsego,MN,United States,56359-2247,Mille Lacs,46.2470730634744,-93.6801438300572,Mille Lacs Lake,,,,
N/A,,Bherala,Gujarat,French Southern Territories,,,-49.1416223335431,70.4675903534973,,,,,
N/A,,Saint-François-de-l'Île-d'Orléans,Quebec,Canada,G7B 3P6,,53.1243021656516,-70.8224046630895,,,,,
N/A,,Huoshigou,Henan,China,474571,,32.7869789862517,111.565647199061,Danjiangkou Shuiku,,,,
N/A,,Wrony,Warmian-Masurian,Poland,11-500,,54.1192529153566,21.6932869148186,,,,,
0,Foot Trl,Yakutat,AK,United States,99689-9800,Skagway-Yakutat-Angoon,59.2837243438182,-138.222462872236,,,,,
N/A,,Baden,North Dakota,Canada,S0P 0J0,,57.0213888447477,-101.996172560318,,,,,
N/A,,Virden,Manitoba,Canada,R0M 2C0,,62.3496739099581,-100.940573325406,,,,,
N/A,,Maidstone,Saskatchewan,Canada,S0N 2G0,,64.6464500119029,-109.280482651069,,,,,
N/A,,Pestunovka,Tuva,Mongolia,85125,,50.339617522986,92.7686212422066,Uvs Nuur,,,,
N/A,,Stonington,Michigan,Canada,X0C 0H0,,66.6178065713037,-88.7835283274649,,,,,
0,Love St,Newtok,AK,United States,99563-0340,Wade Hampton,61.528986723515,-164.66223545473,,,,,
N/A,,Bryson,Quebec,Canada,J0X 1H0,,53.8381351739459,-76.6239599814876,Réservoir de La Grande 2,,,,
N/A,,Obedjiwan,Quebec,Canada,G0W 3B0,,49.310078988343,-74.9428075840415,,,,,
0,Foot Trl,Yakutat,AK,United States,99689-9800,Skagway-Yakutat-Angoon,59.4495985294569,-138.03333913232,,,,,
-957,Carmelite St,Waggaman,LA,United States,70072-7661,Jefferson,29.7659199494993,-90.2141822259766,,,,,
N/A,,Nadun,Xizang,China,857800,,29.8637960217706,85.7237917355751,,,,,
N/A,,Herb Lake,Manitoba,Canada,X0C 0A0,,62.3804349612434,-99.77778869846,,,,,
0,Winter Trl,Newtok,AK,United States,99632-0234,Wade Hampton,62.0644350707675,-164.623935841435,,,,,
N/A,,Wasa,British Columbia,Canada,V0B 2E0,,55.4505146803096,-115.73999335434,Lesser Slave Lake,,,,
N/A,,Pukapuka,Îles Tuamotu-Gambier,Canada,Y0B 1H0,,61.3350007637352,-138.792404874444,Kluane Lake,,,,
N/A,,Kerie,Embu,Kenya,,,-0.801145375980354,37.7727773775301,,,,,
N/A,,Glenavon,Saskatchewan,Canada,S4A 2A3,,55.9390119492846,-103.127266718821,,,,,
N/A,,Larkspur,Alberta,Canada,T8T 1T3,,58.6677674077952,-113.761681349236,,,,,
0,Winter Trl,Stebbins,AK,United States,99585-9999,Wade Hampton,62.2351662645039,-162.264835881994,,,,,
N/A,,Moulin-Caron,Quebec,Canada,J9X 5A5,,71.1336466456307,-78.9603238384195,,,,,
N/A,,Baie-Noire,Quebec,Canada,K4K 1W3,,49.4014790498174,-75.1980593119946,,,,,
0,,Richfield,MI,United States,49950-9521,Keweenaw,47.7258112561203,-88.2010638846156,Lake Superior,,,,
N/A,,Lawson,Michigan,Canada,X0C 0H0,,66.7689625505858,-87.1431536965744,,,,,
N/A,,Lipsett,Saskatchewan,Canada,S4R 1X4,,63.1688892757655,-104.677517631008,,,,,
0,,Ono,CA,United States,96091-9601,Trinity,40.9482244109772,-122.67872506813,Clair Engle Lake,,,,
N/A,,Domaine-Beaudry,Quebec,Canada,J0K 3C0,,56.0043607855078,-73.3219756137953,,,,,
0,Winter Trl,Lower Kalskag,AK,United States,99607-9998,Bethel,61.6259797034049,-160.401828452776,,,,,
N/A,,Lipsett,Saskatchewan,Canada,S4X 0E8,,69.8010602421056,-104.691539470614,,,,,
N/A,,Pikwitonei,Manitoba,Canada,R0B 1E0,,66.0184812084637,-97.1557197750066,,,,,
0,E Entrance Rd,Opal,WY,United States,82190-3337,Park,44.4321710376441,-110.328518274711,Yellowstone Lake,,,,
N/A,,Roanwood,Montana,Canada,X0E 1A0,,62.4624153706495,-106.488805919216,Lynx Lake,,,,
N/A,,Gaojiazhuang,Jiangsu,China,225832,,32.946524343157,119.3349768736,Gaoyou Hu,,,,
N/A,,Bjäsäter,Östergotland,Sweden,590 78,,58.4943869369146,15.6002310358002,,,,,
N/A,,Petit-Lac-Long,Quebec,Canada,J8C 2Z8,,59.4329669562739,-74.2977467633682,Lake Payne,,,,
N/A,,Mellon,Quebec,Canada,J0W 2C0,,50.2323217986465,-76.8463792490622,,,,,
N/A,,Fægfjord,Finnmark,Norway,9517,,69.656527455684,24.2183058779582,,,,,
0,,Saint Marys,AK,United States,99690-9998,Bethel,61.0469654653369,-163.271831643826,,,,,
0,,Wake Forest,VA,United States,23917-2622,Mecklenburg,36.6187168291246,-78.5032268696338,John H. Kerr Reservoir,,,,
0,Foot Trl,Nuiqsut,AK,United States,99789-9800,North Slope,70.6030553064759,-153.522499844282,Teshekpuk Lake,,,,
N/A,,Yermaki,Tyumen',Russia,627592,,69.7716238293925,70.9437626730544,,,,,
N/A,,Tungusy,Krasnoyarsk,Russia,668336,,69.1709738279803,93.9702820370746,Ozero Ayan,,,,
N/A,,Ombabika,Ontario,Canada,X0C 0H0,,66.5028573796588,-87.9118084528352,,,,,
N/A,,McMunn,Manitoba,Canada,R0B 1J0,,53.195685466481,-95.6977285286289,,,,,
N/A,,Tynwałd,Warmian-Masurian,Poland,14-204,,53.7059656808638,19.6336574917928,,,,,
N/A,,Ga’erboguo,Xizang,China,851500,,30.725399821885,90.5819859732769,Nam Co,,,,
N/A,,Fairview Colony,North Dakota,Canada,X0B 0A3,,67.3045580799019,-98.4017396558937,,,,,
N/A,,City of Berthold,North Dakota,Canada,X0B 2A0,,64.454230236886,-101.732384097702,,,,,
N/A,,Bear Island,Ontario,Canada,P0H 1C0,,47.0080043321097,-80.078882487432,,,,,
0,,Chefornak,AK,United States,99561-0354,Bethel,60.330630361962,-164.368247497047,,,,,
N/A,,El Tejocote de Puriantzícuaro,Guanajuato,Mexico,38577,,20.0803098924224,-100.555525705575,,,,,
N/A,,Brisco,British Columbia,Canada,X0E 0Y0,,63.0127291063222,-116.257840683745,,,,,
0,Winter Trl,Napaskiak,AK,United States,99634-0120,Bethel,60.5034221045883,-161.737703958485,,,,,
N/A,,Babbitt,Minnesota,Canada,P8T 1E4,,53.3015093701848,-91.940011964839,,,,,
N/A,,Underwood,Minnesota,Canada,R0B 1C0,,55.3074537145236,-95.864526265797,,,,,
N/A,,Minnitaki,Ontario,Canada,P0V 2E0,,64.8625132812176,-93.0836962838737,,,,,
N/A,,Omemee,North Dakota,Canada,R0J 1T0,,56.3380225236116,-100.355534097749,,,,,
N/A,,La Estanzuela (La Chiripa),Michoacan,Mexico,61037,,20.0627952268581,-100.204100308034,,,,,
0,,Eek,AK,United States,99578-9999,Bethel,60.3041375905201,-162.043951687926,,,,,
N/A,,Kintobongo,Katanga,Congo D.R.,,,-8.61930941053393,26.3963531876201,Lac Upemba,,,,
N/A,,Gołysz,Silesian,Poland,43-394,,49.9282436553195,18.8758766405794,,,,,
N/A,,Atwater,Saskatchewan,Canada,S0A 0C0,,54.5965643475006,-102.227357147259,,,,,
N/A,,Silverdale,Newfoundland and Labrador,Canada,A0J 1G0,,48.1789848298395,-55.9884655985308,,,,,
0,Airstrip Rd,Chuathbaluk,AK,United States,99628-0078,Dillingham,59.1072530496027,-159.227359632594,,,,,
N/A,,Chërnyy Zaton,Saratov,Russia,433900,,52.6197620517479,48.310822676999,Saratov Reservoir,,,,
N/A,,Clementson,Minnesota,Canada,P9N 0A7,,63.1225269257423,-94.4273937742023,,,,,
N/A,,Akshiy,Almaty,Kazakhstan,140802,,43.8487413376691,77.6323854765761,Kapchagay Reservoir,,,,
N/A,,Chernovaya,East Kazakhstan,Kazakhstan,071507,,48.7253246497959,83.4350769928513,Lake Zaysan,,,,
0,,Maple Ridge,MN,United States,56666-0320,Beltrami,47.9870594189497,-95.0181562441905,Lower Red Lake,,,,
0,Rd O N 3,Ronan,MT,United States,59911-8218,Lake,47.9016938220815,-114.10476928356,Flathead Lake,,,,
N/A,,Chenhuajia,Hubei,China,430418,,30.278260712772,114.706873004738,,,,,
0,Airstrip Rd,Kilauea,AK,United States,99628-0078,Dillingham,59.102101677378,-159.441488750957,,,,,
N/A,,Van Bruyssel,Quebec,Canada,G8L 7A7,,52.5598589518766,-72.1495299855237,,,,,
N/A,,Jackhead,Manitoba,Canada,R0C 2R0,,57.3491633003089,-97.3025672161331,,,,,
N/A,,Zhande,Xinjiang Uygur,China,859700,,35.2265216898554,79.8537073847272,Alesayqin Ha,,,,
N/A,,Scandia,Alberta,Canada,T9C 1V9,,58.5640040529813,-112.028107030535,Lake Clare,,,,
N/A,,Kulla,Östergotland,Sweden,702 33,,58.5640040529813,15.165969034503,,,,,
N/A,,Nelson Beach,Saskatchewan,Canada,S6V 5S6,,54.2802700928976,-105.713148611964,,,,,
N/A,,Amourdale,North Dakota,Canada,R0K 0H0,,64.1766448650008,-99.3703565782154,,,,,
0,,Pedro Bay,AK,United States,99653-9998,Kenai Peninsula,60.9785258057788,-153.87902111796,,,,,
N/A,,Oxbow,Maine,Canada,G5M 1K8,,53.7145022405506,-68.4998530102348,,,,,
N/A,,Kamuchege,Kirinyaga,Kenya,,,-0.843386628223755,37.3821976920955,Masinga Res.,,,,
N/A,,Pil’dozero,Karelia,Russia,186445,,65.7457528446762,33.4865619280378,Engozero,,,,
N/A,,Labelle,Quebec,Canada,J0Y 3M0,,57.3110431458453,-74.7322942171646,Lac Minto,,,,
N/A,,Ellerth,Minnesota,Canada,X0C 0A0,,63.9566076799699,-96.4772613465717,,,,,
N/A,,Marisco Guapinol,Izabal,Guatemala,18019,,15.5797767527064,-89.0611939656746,Lago de Izabal,,,,
0,Valley of Ten Thousand Smokes Access Rd,Paauhau,AK,United States,99613-0635,Lake and Peninsula,58.7111861165471,-155.412860676671,,,,,
N/A,,Stornoway,Saskatchewan,Canada,S0A 3Z0,,55.8323049531994,-102.039371672575,,,,,
N/A,,Mushpal,Vologda,Russia,162579,,58.6183142344371,38.369348243723,Rybinsk Reservoir,,,,
N/A,,Lisunie,Warmian-Masurian,Poland,11-730,,53.8765496925366,21.5079021020699,,,,,
N/A,,Xiaku,Qinghai,China,627751,,36.8787875354454,100.113266006127,Qinghai Hu,,,,
0,Brooks Camp Rd,Igiugig,AK,United States,99613-0635,Bristol Bay,58.5161698823224,-155.896737841934,,,,,
N/A,,Pongch’ŏl-li,P'yŏngan-bukto,China,113306,,40.5617243120533,125.094177287822,Supung Reservoir,,,,
N/A,,Saint-Ambroise,Quebec,Canada,G7P 2A3,,50.7105163231719,-71.3154280349593,,,,,
N/A,,Gemeente Kollumerland en Nieuwkruisland,Friesland,Netherlands,9293 MK,,53.3780440432391,6.17735908582797,Lauwerszee,,,,
N/A,,Xinwugang,Hubei,China,437017,,30.7879521989005,114.505294319457,,,,,
N/A,,Navezuelas,Extremadura,Spain,10318,,39.8424455674071,-5.43937633251339,,,,,
N/A,,Ross,Minnesota,Canada,R0E 0X0,,65.3237818684329,-95.9246745509381,,,,,
N/A,,Localidad Rural Tizapán,Jalisco,Mexico,49400,,20.2173363936022,-103.043322029609,Lago de Chapala,,,,
0,,Trapper Creek,AK,United States,99672-9314,Kenai Peninsula,60.4282120701061,-150.405516373378,,,,,
N/A,,Rochevo,Arkhangel'sk,Russia,171559,,68.1258339945993,37.906241611207,,,,,
N/A,,Wageningen,Nickerie,Canada,A0K 1M0,,51.1062888921004,-56.6693020930155,,,,,
N/A,,Moose Range,Saskatchewan,Canada,S0E 0A7,,55.3758933740817,-103.702575431995,,,,,
N/A,,Flin Flon,Manitoba,Canada,R8A 1S4,,55.7385499787079,-101.863083179338,,,,,
0,E Narrows Dr,Gallatin Gateway,MT,United States,59758-9726,Fremont,44.808809938309,-111.200947207685,Hebgen Lake,,,,
N/A,,Sainte-Anne-de-Beaupré,Quebec,Canada,G7B 3P9,,53.510949446639,-70.9339867730025,,,,,
N/A,,Snellman,Minnesota,Canada,R0B 0V0,,65.1701237940702,-95.4207709424121,,,,,
N/A,,Nevanka,Irkutsk,Russia,663037,,72.226473467607,98.9153501489772,,,,,
0,,Tok,AK,United States,99780-6080,Southeast Fairbanks,63.1022158009702,-142.756425116716,Tetlin Lake,,,,
N/A,,Swesterpan,Free State,South Africa,B-2660,,-27.6952823051746,25.6771017952155,Bloemhof Dam,,,,
N/A,,Los Ranchos de Sinecapa,León,Nicaragua,31007,,12.337355892351,-86.3991696710016,Lago de Managua,,,,
